date,time,lat,lon,ele
2022-03-24,11:51:12.000,50.5856429,-2.0366715,20
2022-03-24,11:51:17.000,50.5856042,-2.0365834,19
2022-03-24,11:51:22.000,50.5855926,-2.0365089,19
2022-03-24,11:51:27.000,50.5855634,-2.0364316,19
2022-03-24,11:51:32.000,50.5855271,-2.0363455,19
2022-03-24,11:51:37.000,50.5854932,-2.0362554,18
2022-03-24,11:51:42.000,50.5854449,-2.0361838,18
2022-03-24,11:51:47.000,50.5854219,-2.0361191,17
2022-03-24,11:51:52.000,50.5854058,-2.0360371,17
2022-03-24,11:51:57.000,50.5853893,-2.0359476,16
2022-03-24,11:52:02.000,50.5853727,-2.0358720,16
2022-03-24,11:52:07.000,50.5853502,-2.0358134,16
2022-03-24,11:52:12.000,50.5853170,-2.0357466,16
2022-03-24,11:52:17.000,50.5852879,-2.0356695,15
2022-03-24,11:52:22.000,50.5852535,-2.0355910,15
2022-03-24,11:52:27.000,50.5852136,-2.0355150,15
2022-03-24,11:52:32.000,50.5851681,-2.0354372,14
2022-03-24,11:52:37.000,50.5851300,-2.0353579,14
2022-03-24,11:52:42.000,50.5851008,-2.0352748,14
2022-03-24,11:52:47.000,50.5850650,-2.0352109,14
2022-03-24,11:52:52.000,50.5850204,-2.0351464,13
2022-03-24,11:52:57.000,50.5849757,-2.0350763,13
2022-03-24,11:53:02.000,50.5849349,-2.0350083,13
2022-03-24,11:53:07.000,50.5848927,-2.0349394,12
2022-03-24,11:53:12.000,50.5848499,-2.0348729,12
2022-03-24,11:53:17.000,50.5848137,-2.0348188,12
2022-03-24,11:53:22.000,50.5847840,-2.0347633,11
2022-03-24,11:53:27.000,50.5847649,-2.0347328,11
2022-03-24,11:53:32.000,50.5847387,-2.0346866,11
2022-03-24,11:53:37.000,50.5846978,-2.0346157,11
2022-03-24,11:53:42.000,50.5846662,-2.0345448,10
2022-03-24,11:53:47.000,50.5846648,-2.0344658,10
2022-03-24,11:53:52.000,50.5846864,-2.0343830,10
2022-03-24,11:53:57.000,50.5847263,-2.0343250,10
2022-03-24,11:54:20.000,50.5847666,-2.0343068,10
2022-03-24,11:54:25.000,50.5847999,-2.0343026,10
2022-03-24,11:54:30.000,50.5848416,-2.0343176,10
2022-03-24,11:54:35.000,50.5848848,-2.0343198,10
2022-03-24,11:54:40.000,50.5849282,-2.0342894,11
2022-03-24,11:54:45.000,50.5849672,-2.0342539,11
2022-03-24,11:54:50.000,50.5850033,-2.0342318,11
2022-03-24,11:54:55.000,50.5850323,-2.0342381,11
2022-03-24,11:55:00.000,50.5850684,-2.0342658,12
2022-03-24,11:55:11.000,50.5851104,-2.0342711,13
2022-03-24,11:55:16.000,50.5851352,-2.0342424,14
2022-03-24,11:55:21.000,50.5851559,-2.0342046,16
2022-03-24,11:55:26.000,50.5851769,-2.0341759,17
2022-03-24,11:55:31.000,50.5851904,-2.0341517,18
2022-03-24,11:57:01.000,50.5852191,-2.0340917,21
2022-03-24,11:57:06.000,50.5852447,-2.0340410,22
2022-03-24,11:57:11.000,50.5852629,-2.0340075,23
2022-03-24,11:57:16.000,50.5852815,-2.0339780,24
2022-03-24,11:57:21.000,50.5852852,-2.0339258,26
2022-03-24,11:57:26.000,50.5852826,-2.0338617,27
2022-03-24,11:57:31.000,50.5852742,-2.0337982,28
2022-03-24,11:57:36.000,50.5852674,-2.0337314,29
2022-03-24,11:57:41.000,50.5852635,-2.0336617,30
2022-03-24,11:57:46.000,50.5852509,-2.0335978,31
2022-03-24,11:57:51.000,50.5852226,-2.0335332,32
2022-03-24,11:58:12.000,50.5852191,-2.0335360,32
2022-03-24,11:58:23.000,50.5852519,-2.0335517,32
2022-03-24,11:58:28.000,50.5852730,-2.0335160,33
2022-03-24,11:58:33.000,50.5852634,-2.0334667,32
2022-03-24,11:58:38.000,50.5852367,-2.0334013,32
2022-03-24,11:58:43.000,50.5852133,-2.0333326,32
2022-03-24,11:58:48.000,50.5851843,-2.0332586,32
2022-03-24,11:58:53.000,50.5851628,-2.0331861,32
2022-03-24,11:58:58.000,50.5851441,-2.0331120,32
